,storm_id,season,init_lat,init_lon,init_dist2land,PDI_max_wmo,PDI_max_usa,PDI_max_tokyo,Pres_min_wmo,r34_max_wmo,r50_max_wmo,r64_max_wmo,storm_speed_max_wmo,lon_weighted,lat_weighted,lon_variance,lat_variance,latlon_covariance,DayofYear_mean
1119,1119,1947,25.0,-78.5,30.0,54310344.0,54310344.0,,,,,,24.0,-81.68818664550781,29.85266494750977,7.4829921294890225,5.840224911549348,-4.507147964806331,280.06666666666666
1120,1120,1947,34.7,-42.8,1583.0,56250000.0,56250000.0,,,,,,13.0,-39.855281829833984,36.94718170166016,7.279328099196184,1.7104414636005825,3.288517545353679,282.08
1121,1121,1947,13.499999,-82.3,129.0,313361184.0,313361184.0,,966.0,,,,17.0,-81.0436782836914,25.71462631225586,10.435755487267777,40.003286227056726,10.128144135131164,285.3235294117647
1122,1122,1947,19.0,-63.2,261.0,520931264.0,520931264.0,,961.0,,,,39.0,-65.07015991210938,28.556930541992188,34.99202025957381,46.766748053654815,28.81588026954801,292.2093023255814
1123,1123,1948,17.1,-73.2,119.0,41006248.0,41006248.0,,,,,,14.0,-69.75779724121094,27.7574462890625,3.1039809011907926,25.597694666853748,7.847022723231676,146.1818181818182
1124,1124,1948,27.500002,-89.4,170.0,18709092.0,18709092.0,,,,,,12.0,-87.46742248535156,31.16398048400879,1.461210952882512,7.131266670067598,2.8654437029366746,191.2941176470588
1125,1125,1948,20.4,-60.6,570.0,520931264.0,520931264.0,,,,,,35.0,-59.14486312866211,39.44071960449219,233.10883464935,195.55047204379903,185.6234904767192,243.94252873563215
1126,1126,1948,12.9,-55.4,657.0,52941176.0,52941176.0,,1007.0,,,,12.0,-60.03389358520508,13.677410125732422,7.19073005045238,0.203787999817474,-1.2091669466490147,244.27777777777777
1127,1127,1948,24.3,-94.80001,280.0,150585360.0,150585360.0,,983.0,,,,14.0,-91.29647827148438,29.966732025146484,5.67119964826003,27.614307052419477,11.558246857072252,247.8095238095238
1128,1128,1948,14.3,-20.2,294.0,684393728.0,684393728.0,,,,,,44.0,-44.62004089355469,26.996307373046875,241.01964653466104,209.0038468735729,-2.2847789275606787,254.4392523364486
1129,1129,1948,36.0,-58.0,1040.0,74868752.0,74868752.0,,,,,,33.0,-61.71577453613281,39.031864166259766,6.08549643629364,9.32674664920924,3.5507393620562167,252.66666666666663
1130,1130,1948,18.2,-79.2,84.0,642915328.0,642915328.0,,940.0,,,,44.0,-74.51251220703125,27.751955032348636,138.57551001714265,76.14084976527967,95.7270889862406,265.64179104477614
1131,1131,1948,16.700003,-83.5,132.0,582156992.0,582156992.0,,971.0,,,,48.0,-57.24227523803711,29.909894943237305,314.58555558823247,33.409946961797694,76.18509123991225,283.4537037037037
1132,1132,1948,25.8,-66.0,801.0,123581248.0,123581248.0,,990.0,,,,23.0,-72.13372802734375,29.934282302856445,8.07707229564493,13.483798202346344,-7.016580825718604,314.57142857142856
1133,1133,1949,21.2,-61.5,531.0,385818752.0,385818752.0,,963.0,,,,51.0,-54.07912063598633,40.87285232543945,402.8452371730647,197.80669018646287,261.8677184292202,237.06849315068493
1134,1134,1949,18.0,-60.0,592.0,675505536.0,675505536.0,,954.0,,,,59.0,-66.06415557861328,34.863922119140625,296.4094464247181,178.8980555622224,141.018150690714,239.53846153846155
1135,1135,1949,11.899999,-55.8,560.0,28800000.0,28800000.0,,,,,,13.0,-61.66057205200195,13.97923469543457,14.763051899776118,1.3623990166372637,-4.405623171962749,243.92592592592592
1136,1136,1949,18.5,-65.4,23.0,598950016.0,598950016.0,,974.0,,,,47.0,-62.3773078918457,32.01023483276367,34.57866201928896,129.12529718495443,65.41585770234492,249.82608695652172
1137,1137,1949,23.699999,-89.0,249.0,56250000.0,56250000.0,,,,,,16.0,-89.80875396728516,28.92452812194824,0.5194354330400183,12.997214362854582,-0.5992426930681087,247.04761904761904
1138,1138,1949,27.3,-40.4,2317.0,123581248.0,123581248.0,,996.0,,,,28.0,-40.89920425415039,39.05199813842773,8.085313593472094,36.176656535125296,10.30067057891742,253.55913978494624
1139,1139,1949,31.0,-72.8,537.0,39366000.0,39366000.0,,,,,,11.0,-76.42581176757812,34.028419494628906,5.988237849002202,1.9075007183514223,-2.834253807468698,255.80769230769232
1140,1140,1949,16.0,-31.999998,1561.0,56250000.0,56250000.0,,,,,,13.0,-31.556339263916016,23.18266487121582,1.0036186664800697,18.724482268544783,4.08568177584534,257.6774193548387
1141,1141,1949,14.2,-60.8,392.0,154350000.0,154350000.0,,,,,,14.0,-65.78182983398438,16.55354881286621,9.730646425040936,2.018040568962166,-4.420147224047651,264.1578947368421
1142,1142,1949,26.000002,-91.80001,357.0,225882352.0,225882352.0,,,,,,13.0,-94.94994354248048,23.34704971313477,2.023196822638003,7.255825783969217,3.387519522595188,266.2307692307692
1143,1143,1949,13.200001,-90.0,39.0,380934976.0,380934976.0,,965.0,,,,24.0,-92.19031524658205,23.138914108276367,4.819927061138389,76.51205616538212,-4.445875927641444,274.7125
1144,1144,1949,24.0,-56.8,1105.0,56250000.0,56250000.0,,,,,,23.0,-48.88120269775391,29.4881591796875,52.35755239586869,9.337375133965988,21.676841331326617,277.8048780487805
1145,1145,1949,20.8,-74.7,22.0,230400000.0,230400000.0,,995.0,,,,43.0,-65.00177001953125,34.625953674316406,39.43750631303831,58.06019301544952,44.05880393994575,290.05797101449275
1146,1146,1949,21.8,-49.2,1753.0,56250000.0,56250000.0,,,,,,20.0,-53.34611511230469,28.667573928833008,5.054671721792561,30.46587296735128,-7.779442545054589,287.8181818181818
1147,1147,1949,26.0,-45.5,2232.0,41006248.0,41006248.0,,,,,,57.0,-58.60827255249024,25.191181182861328,51.59489494879176,27.21009698819417,-9.387961472567376,307.2972972972973
1148,1148,1949,18.0,-82.5,311.0,69877504.0,69877504.0,,993.0,,,,8.0,-83.69939422607422,16.504070281982422,0.2394089558462534,1.4220607172212567,0.3722658541110528,307.6875
1149,1149,1950,17.1,-55.5,930.0,592900032.0,592900032.0,,953.0,,,,34.0,-63.81708908081055,32.59141540527344,119.54717438156668,142.2112814139566,77.56675424871031,229.73
1150,1150,1950,12.0,-54.0,683.0,325197376.0,325197376.0,,979.0,,,,23.0,-74.72615051269531,21.716699600219727,170.54376422781658,39.535843392689394,-69.76233711684675,237.23275862068965
1151,1151,1950,11.1,-26.4,1045.0,385818752.0,385818752.0,,974.0,,,,51.0,-50.42780303955078,24.650102615356445,101.25622322319244,110.96654249575506,-91.78420078056293,240.5619834710744
1152,1152,1950,15.2,-55.6,772.0,878906240.0,878906240.0,,953.0,,,,39.0,-57.02619934082031,32.6377067565918,366.33726802483903,143.28790210731057,169.53787794548862,251.43537414965985
1153,1153,1950,19.7,-83.2,194.0,491990624.0,491990624.0,,960.0,,,,17.0,-84.10905456542969,27.69729995727539,6.184755403401255,26.241001167994867,-8.871031759237777,248.013698630137
1154,1154,1950,15.5,-41.0,1686.0,777600000.0,777600000.0,,946.0,,,,48.0,-51.74131393432617,23.84364891052246,35.54808715278788,62.08018286573974,-11.736841383549612,255.44
1155,1155,1950,24.6,-51.0,1660.0,385818752.0,385818752.0,,960.0,,,,47.0,-54.714332580566406,36.12847518920898,217.99604789702357,122.43454276591076,132.97444669750615,274.9397590361445
1156,1156,1950,25.6,-88.4,385.0,28800000.0,28800000.0,,,,,,14.0,-92.7423858642578,25.268922805786133,12.982982375362417,1.072268617709852,3.3694364381737048,275.55172413793105
1157,1157,1950,23.3,-90.40001,240.0,316737920.0,316737920.0,,980.0,,,,9.0,-93.96078491210938,20.639589309692383,3.374355133714946,2.8982670803544024,3.098126129981836,282.6
1158,1158,1950,22.4,-47.0,1982.0,450000000.0,450000000.0,,,,,,31.0,-53.09151077270508,31.232057571411133,37.449714698075766,52.77752592632751,18.08313484526826,287.3018867924528
1159,1159,1950,16.0,-84.2,24.0,660793984.0,660793984.0,,955.0,,,,16.0,-81.67267608642578,22.23076438903809,6.0061139846028775,34.9171663470615,-3.5809780753340203,289.33898305084745
1160,1160,1950,22.0,-42.0,2199.0,97200000.0,97200000.0,,,,,,21.0,-34.872859954833984,31.33475112915039,72.73728761094426,30.298329805792772,39.72282309686479,293.55737704918033
1161,1161,1950,25.5,-89.5,392.0,150392304.0,150392304.0,,987.0,,,,18.0,-86.98677825927734,27.895483016967773,14.857707680626891,6.547287281349919,8.82131131050902,292.975
1162,1162,1950,24.7,-42.199997,2448.0,28800000.0,28800000.0,,,,,,15.0,-47.810306549072266,27.59461784362793,5.884735104079577,3.593574983571852,-4.113842853897193,299.6666666666667
1163,1163,1950,26.000002,-26.000002,942.0,41006248.0,41006248.0,,,,,,13.0,-29.326330184936523,27.4461669921875,5.750857920021291,0.350485449374252,-0.558123998695818,301.1578947368421
1164,1164,1950,33.7,-58.5,1238.0,97200000.0,97200000.0,,,,,,15.0,-59.20354080200195,34.9894905090332,2.693938103174465,1.9200699550779776,1.9353887607514204,314.7368421052632
1165,1165,1951,30.500002,-58.0,1554.0,74868752.0,74868752.0,,,,,,32.0,-59.4756088256836,27.20409774780273,32.216176132976265,48.97801272056035,32.276094855271694,7.061728395061729
1166,1166,1951,32.0,-68.0,809.0,230400000.0,230400000.0,,973.0,,,,26.0,-72.76679992675781,32.60016250610352,32.7048594161793,18.1827291575835,21.197685122653485,139.94366197183098
1167,1167,1951,20.9,-52.9,1358.0,56250000.0,56250000.0,,996.0,,,,21.0,-57.83664321899414,29.61101722717285,6.031359991829601,36.896519635894855,-8.512903959126485,215.55172413793105
1168,1168,1951,12.099999,-44.1,1179.0,670135552.0,670135552.0,,968.0,,,,20.0,-73.90084075927734,17.505220413208008,340.08180688958055,13.286105524389638,-67.0040445423652,229.51546391752575
1169,1169,1951,12.3,-25.6,916.0,230400000.0,230400000.0,,992.0,,,,20.0,-51.663612365722656,13.65723991394043,272.39604545827154,1.1937819470657862,-17.811718499556708,243.44
1170,1170,1951,12.5,-31.999998,1586.0,988649984.0,988649984.0,,937.0,,,,40.0,-50.282596588134766,27.81374740600586,154.26637795700455,109.24582271979996,10.084908158993406,250.55963302752292
1171,1171,1951,12.6,-20.3,380.0,450000000.0,450000000.0,,,,,,56.0,-40.744911193847656,25.410707473754883,154.73980168258709,165.9506181114291,-36.13758346584638,249.56521739130437
1172,1172,1951,19.4,-93.200005,103.0,53289476.0,53289476.0,,999.0,,,,11.0,-95.61177825927734,20.7749137878418,3.2323366680672687,0.873620505735313,-1.6648317915234276,263.45
1173,1173,1951,20.2,-85.8,132.0,273673184.0,273673184.0,,963.0,,,,47.0,-53.22546005249024,42.47663879394531,1515.283194823763,365.9824654219471,724.6355271321709,277.91346153846155
1174,1174,1951,15.5,-80.2,316.0,74868752.0,74868752.0,,998.0,,,,9.0,-81.89500427246094,20.064332962036133,0.3087062423069833,4.739886412684493,-0.9766111905772548,287.55555555555554
1175,1175,1951,27.7,-76.0,352.0,123581248.0,123581248.0,,990.0,,,,14.0,-72.4117660522461,31.823637008666992,2.9249749811517503,2.534665329574225,2.008010013100296,290.1794871794872
1176,1176,1951,39.0,-53.0,845.0,154350000.0,154350000.0,,,,,,27.0,-41.56367111206055,36.35732650756836,66.78199844098124,6.144854864779742,10.88684626770094,341.4366197183099
1177,1177,1952,18.5,-87.2,53.0,97200000.0,97200000.0,,,,,,36.0,-77.47663879394531,31.34307098388672,44.55920910230392,78.14185779203827,58.75419226974057,34.32
1178,1178,1952,14.6,-19.0,161.0,276356256.0,276356256.0,,983.0,,,,24.0,-56.419677734375,23.04987525939941,363.86755789669695,106.74595174661552,-150.8777479109049,238.8139534883721
1179,1179,1952,32.2,-77.6,186.0,41006248.0,41006248.0,,1000.0,,,,22.0,-79.67837524414062,34.57563781738281,2.9618155017815297,3.136395250859803,-3.03069988272667,240.77777777777777
1180,1180,1952,15.4,-53.9,932.0,385818752.0,385818752.0,,969.0,,,,41.0,-61.42085647583008,32.75477981567383,77.52272007524321,142.83185612691253,55.51830311868287,248.68354430379748
1181,1181,1952,42.0,-22.999998,1123.0,41006248.0,41006248.0,,,,,,29.0,-17.526166915893555,39.75930404663086,103.4269894170193,3.5168946741318377,3.802310345704994,254.83018867924528
1182,1182,1952,20.0,-69.2,78.0,520931264.0,520931264.0,,958.0,,,,28.0,-63.5713005065918,32.71979141235352,104.66877539308112,50.96448798798325,61.606220265150895,271.0701754385965
